name,company,title,profile_url,connected_on
Rosalind Drummond,Inglenook Bakery,Platform Lead,https://www.linkedin.com/in/rosalind-drummond-1085,2024-08-13
Dana Wexford,Whitlock Staffing,SVP Digital,https://www.linkedin.com/in/dana-wexford-8841,2016-01-18
Kwame Fairweather,Pale Harbour Studio,SVP Digital,https://www.linkedin.com/in/kwame-fairweather-7908,2022-03-28
Bo Lindqvist,Bellchamber Media,Engineering Manager,https://www.linkedin.com/in/bo-lindqvist-8673,2020-03-03
Bram Crowther,Zenner Foods,Principal Architect,https://www.linkedin.com/in/bram-crowther-7180,2025-01-13
Kofi Oldfield,Bellchamber Media,Engineering Manager,https://www.linkedin.com/in/kofi-oldfield-8235,2021-10-03
Renata Oldfield,Highmoor Cycles,VP Data & Analytics,https://www.linkedin.com/in/renata-oldfield-8708,2017-04-28
Elena Balogun,Dunmowe Travel,Head of Automation,https://www.linkedin.com/in/elena-balogun-7416,2016-09-25
Imani Jarrold,Xanthe Labs,Chief Digital Officer,https://www.linkedin.com/in/imani-jarrold-8825,2018-11-15
Otto Eastcott,Zenner Foods,VP Data & Analytics,https://www.linkedin.com/in/otto-eastcott-3394,2020-07-06
·Joaquín Fairweather,Garrowby Books,Staff Engineer,https://www.linkedin.com/in/joaquin-fairweather-3953,2018-11-19
Ingrid Underhill,Rooksby Legal,VP Enterprise Architecture,,2017-04-13
Matteo Ibarra,Whitlock Staffing,Product Director,https://www.linkedin.com/in/matteo-ibarra-1105,2025-05-14
Yusuf Oldfield,Falkirk Shipping,Product Director,https://www.linkedin.com/in/yusuf-oldfield-4065,2025-12-16
Emeka Halloran,Dunmowe Travel,Director of Software Engineering,https://www.linkedin.com/in/emeka-halloran-3638,2023-05-08
Dev Prendergast,Zenner Foods,Director of IT,https://www.linkedin.com/in/dev-prendergast-2282,2025-02-06
Xiomara Zubkov,Xanthe Labs,Head of Automation,https://www.linkedin.com/in/xiomara-zubkov-7340,2019-09-18
Margot Prendergast,Vespermill Analytics,Product Director,https://www.linkedin.com/in/margot-prendergast-2226,2017-01-01
Matteo Sandoval,Rooksby Legal,VP Enterprise Architecture,https://www.linkedin.com/in/matteo-sandoval-7402,2024-08-27
Silas Merriweather,Fairbourne Fitness,Product Director,https://www.linkedin.com/in/silas-merriweather-1750,2022-06-18
Odette Bellinger,Dunmowe Travel,Head of Innovation,https://www.linkedin.com/in/odette-bellinger-4039,2018-03-28
Kwame Brenneman,Highmoor Cycles,Staff Engineer,https://www.linkedin.com/in/kwame-brenneman-4374,2025-01-31
Sunniva Hartigan,Garrowby Books,Platform Lead,https://www.linkedin.com/in/sunniva-hartigan-7152,2022-12-04
Saoirse Mkhize,Ondermark Consulting,Program Manager,https://www.linkedin.com/in/saoirse-mkhize-1232,2021-08-15
Sunniva Dobrescu,Ondermark Consulting,Director of Software Engineering,https://www.linkedin.com/in/sunniva-dobrescu-4070,2020-02-24
Teodor Zubkov,Marchford Clinics,Program Manager,https://www.linkedin.com/in/teodor-zubkov-8878,2020-12-24
Renata Dellinger,Yardley Print,VP Engineering,https://www.linkedin.com/in/renata-dellinger-8475,2023-06-25
Otto Merriweather,Highmoor Cycles,Product Director,https://www.linkedin.com/in/otto-merriweather-1646,2017-06-23
Tanvi Balogun,Yardley Print,Chief Technology Officer,https://www.linkedin.com/in/tanvi-balogun-8012,2024-01-14
Sloane Nakashima,Inglenook Bakery,Engineering Manager,https://www.linkedin.com/in/sloane-nakashima-3480,2020-05-11
Mei Bellinger,Elmsworth Tutors,Head of Platform Engineering,https://www.linkedin.com/in/mei-bellinger-7728,2022-02-22
Rhys Hartigan,Tannerly Design,Director of IT,https://www.linkedin.com/in/rhys-hartigan-8217,2018-05-08
Gideon Kettleborough,Tannerly Design,SVP Digital,https://www.linkedin.com/in/gideon-kettleborough-3208,2024-01-03
Bram Vandermolen,Highmoor Cycles,Head of Automation,https://www.linkedin.com/in/bram-vandermolen-3067,2025-03-27
Greta Oldfield,Rooksby Legal,VP Engineering,https://www.linkedin.com/in/greta-oldfield-2736,2021-03-09
Leandro Lomsadze,Corbridge Realty,Director of IT,https://www.linkedin.com/in/leandro-lomsadze-4701,2016-09-11
Odette Grimsby,Corbridge Realty,Director of IT,https://www.linkedin.com/in/odette-grimsby-3549,2025-05-17
Sabine Egerton,Xanthe Labs,Platform Lead,https://www.linkedin.com/in/sabine-egerton-5160,2023-02-03
Arjun Wexford,Yardley Print,Director of Software Engineering,https://www.linkedin.com/in/arjun-wexford-1270,2019-12-03
Idris Rushworth,Rooksby Legal,Staff Engineer,https://www.linkedin.com/in/idris-rushworth-8670,2018-09-09
Tomás Quillane,Quintrell Advisory,Head of Innovation,https://www.linkedin.com/in/tomas-quillane-3201,2023-04-04
Hugo Merriweather,Xanthe Labs,Engineering Manager,https://www.linkedin.com/in/hugo-merriweather-9783,2020-04-17
Marisol Crowther,Vespermill Analytics,Head of Automation,https://www.linkedin.com/in/marisol-crowther-8756,2016-04-21
Nadia Ibarra,Xanthe Labs,"Senior Manager, Engineering",,2016-11-29
·Joaquín Cardoso,Zenner Foods,Program Manager,https://www.linkedin.com/in/joaquin-cardoso-6591,2022-10-30
Anouk Fontaine,Xanthe Labs,Principal Architect,https://www.linkedin.com/in/anouk-fontaine-2562,2018-10-14
Owen Falkenrath,Zenner Foods,Director of IT,https://www.linkedin.com/in/owen-falkenrath-5126,2020-03-28
Zaid Crowther,Ambrose Trading,Director of IT,https://www.linkedin.com/in/zaid-crowther-3167,2018-08-30
Camille Fairweather,Calderon Aerospace,VP Engineering,https://www.linkedin.com/in/camille-fairweather-6686,2026-08-05
Saoirse Prendergast,Wrenfield Robotics,Head of Platform Engineering,https://www.linkedin.com/in/saoirse-prendergast-6252,2014-01-26
Bertrand Marchetti,Xanthe Labs,Platform Lead,https://www.linkedin.com/in/bertrand-marchetti-6887,2017-05-14
