name,company,title,profile_url,connected_on
Ravi Nakashima,Quintrell Advisory,Staff Engineer,https://www.linkedin.com/in/ravi-nakashima-4210,2021-06-07
Duarte Glückstein,Pale Harbour Studio,Product Director,https://www.linkedin.com/in/duarte-gluckstein-1450,2020-07-08
Casper Kettleborough,Whitlock Staffing,"Senior Manager, Engineering",https://www.linkedin.com/in/casper-kettleborough-3363,2019-06-08
Solveig Falkenrath,Highmoor Cycles,Engineering Manager,https://www.linkedin.com/in/solveig-falkenrath-7276,2016-10-26
Solveig Ibarra,Pale Harbour Studio,Head of Automation,https://www.linkedin.com/in/solveig-ibarra-6768,2023-02-25
Leandro Eastcott,Inglenook Bakery,Chief Information Officer,https://www.linkedin.com/in/leandro-eastcott-5616,2020-06-05
Niall Yarrow,Inglenook Bakery,Program Manager,https://www.linkedin.com/in/niall-yarrow-2819,2022-07-04
Tanvi Ashdown,Quintrell Advisory,Staff Engineer,https://www.linkedin.com/in/tanvi-ashdown-2463,2019-05-14
Fenella Achterberg,Ambrose Trading,Staff Engineer,https://www.linkedin.com/in/fenella-achterberg-7642,2024-02-22
Niall Petrossian,Tannerly Design,Principal Architect,https://www.linkedin.com/in/niall-petrossian-3116,2016-02-26
Duarte Jarrold,Quintrell Advisory,Chief Operating Officer,https://www.linkedin.com/in/duarte-jarrold-1809,2024-04-02
Kwame Zettergren,Yardley Print,Engineering Manager,https://www.linkedin.com/in/kwame-zettergren-7705,2020-05-29
Arjun Ibarra,Rooksby Legal,VP Enterprise Architecture,https://www.linkedin.com/in/arjun-ibarra-1492,2024-12-22
Liesel Oyelaran,Underwood & Vale,SVP Digital,https://www.linkedin.com/in/liesel-oyelaran-2103,2017-10-16
Desmond Wexford,Underwood & Vale,Chief Technology Officer,,2018-02-22
Ansel Okonkwo,Yardley Print,Staff Engineer,https://www.linkedin.com/in/ansel-okonkwo-7953,2024-06-09
Otto Yarrow,Corbridge Realty,Head of Automation,https://www.linkedin.com/in/otto-yarrow-5340,2022-11-11
Duarte Ashdown,Bellchamber Media,Head of Automation,https://www.linkedin.com/in/duarte-ashdown-1263,2020-06-19
Amara Crowther,Whitlock Staffing,Head of Automation,https://www.linkedin.com/in/amara-crowther-9561,2024-08-24
Espen Achterberg,Ambrose Trading,Head of Automation,https://www.linkedin.com/in/espen-achterberg-6158,2022-03-10
Ingrid Ibarra,Inglenook Bakery,Platform Lead,https://www.linkedin.com/in/ingrid-ibarra-4431,2017-11-27
Rhys Merriweather,Whitlock Staffing,Chief Data Officer,https://www.linkedin.com/in/rhys-merriweather-5944,2024-11-10
Teodor Underhill,Corbridge Realty,Platform Lead,https://www.linkedin.com/in/teodor-underhill-1775,2025-05-24
Yusuf Falkenrath,Inglenook Bakery,Staff Engineer,https://www.linkedin.com/in/yusuf-falkenrath-8693,2023-04-12
Malik Merriweather,Bellchamber Media,Head of Innovation,https://www.linkedin.com/in/malik-merriweather-4948,2016-11-11
Zaid Falkenrath,Highmoor Cycles,Product Director,https://www.linkedin.com/in/zaid-falkenrath-9441,2016-07-02
Anouk Balogun,Elmsworth Tutors,Principal Architect,https://www.linkedin.com/in/anouk-balogun-7603,2021-04-21
Arjun Brenneman,Inglenook Bakery,Head of Automation,https://www.linkedin.com/in/arjun-brenneman-9359,2023-10-15
Elena Grimsby,Dunmowe Travel,Program Manager,https://www.linkedin.com/in/elena-grimsby-5738,2019-03-06
Freya Prendergast,Pale Harbour Studio,"Senior Manager, Engineering",https://www.linkedin.com/in/freya-prendergast-8856,2021-11-09
Teodor Crowther,Yardley Print,SVP Digital,https://www.linkedin.com/in/teodor-crowther-1283,2025-02-13
Matteo Vasquez,Ambrose Trading,Engineering Manager,https://www.linkedin.com/in/matteo-vasquez-5564,2018-05-04
Rosalind Højgaard,Whitlock Staffing,Platform Lead,https://www.linkedin.com/in/rosalind-hojgaard-8098,2021-03-12
Tanvi Drummond,Fairbourne Fitness,Staff Engineer,https://www.linkedin.com/in/tanvi-drummond-5140,2017-05-09
Renata Quillane,Zenner Foods,"Senior Manager, Engineering",https://www.linkedin.com/in/renata-quillane-1582,2021-09-01
Curtis Okonkwo,Yardley Print,Staff Engineer,https://www.linkedin.com/in/curtis-okonkwo-9832,2018-06-24
Freya Thackeray,Underwood & Vale,Head of Developer Productivity,https://www.linkedin.com/in/freya-thackeray-2245,2019-08-01
Niall Cardoso,Ambrose Trading,Principal Architect,https://www.linkedin.com/in/niall-cardoso-4594,2017-02-07
·Joaquín Dobrescu,Inglenook Bakery,Chief Digital Officer,https://www.linkedin.com/in/joaquin-dobrescu-5152,2020-06-07
Zaid Nakashima,Zenner Foods,VP Data & Analytics,https://www.linkedin.com/in/zaid-nakashima-9545,2023-01-06
Ingrid Petrossian,Ambrose Trading,Chief Data Officer,https://www.linkedin.com/in/ingrid-petrossian-7281,2024-06-15
Ansel Bellinger,Zenner Foods,Engineering Manager,https://www.linkedin.com/in/ansel-bellinger-8060,2023-04-10
Malik Hartigan,Corbridge Realty,Chief Digital Officer,https://www.linkedin.com/in/malik-hartigan-5878,2021-05-26
Desmond Cardoso,Meridian Peak Foods,Director of IT,https://www.linkedin.com/in/desmond-cardoso-1014,2022-03-01
Perrine Kirkbride,Bellchamber Media,Chief Information Officer,https://www.linkedin.com/in/perrine-kirkbride-6014,2023-02-12
Marcus Marchetti,Corbridge Realty,Staff Engineer,https://www.linkedin.com/in/marcus-marchetti-7314,2017-11-08
Priya Nakashima,Underwood & Vale,Head of Developer Productivity,https://www.linkedin.com/in/priya-nakashima-4076,2021-05-16
Rafael Havercamp,Ondermark Consulting,Head of Automation,https://www.linkedin.com/in/rafael-havercamp-6776,2017-08-05
Emeka Nakashima,Yardley Print,Engineering Manager,https://www.linkedin.com/in/emeka-nakashima-7846,2021-06-13
Wren Sandoval,Vespermill Analytics,VP Enterprise Architecture,https://www.linkedin.com/in/wren-sandoval-2470,2017-07-19
Bram Wolstenholme,Inglenook Bakery,Product Director,https://www.linkedin.com/in/bram-wolstenholme-7178,2024-05-03
Sloane Ashdown,Dunmowe Travel,Engineering Manager,https://www.linkedin.com/in/sloane-ashdown-4451,2019-04-03
Yusuf Mkhize,Highmoor Cycles,Platform Lead,https://www.linkedin.com/in/yusuf-mkhize-1123,2022-01-05
Yusuf Havercamp,Whitlock Staffing,Chief Digital Officer,https://www.linkedin.com/in/yusuf-havercamp-4933,2023-06-13
Dana Oyelaran,Whitlock Staffing,Head of Platform Engineering,https://www.linkedin.com/in/dana-oyelaran-8161,2021-03-04
Yara Egerton,Tannerly Design,Staff Engineer,https://www.linkedin.com/in/yara-egerton-6857,2017-05-09
Anouk Cathcart,Inglenook Bakery,Staff Engineer,https://www.linkedin.com/in/anouk-cathcart-1828,2020-05-15
Priya Kettleborough,Ambrose Trading,Staff Engineer,https://www.linkedin.com/in/priya-kettleborough-2139,2020-04-01
Ingrid Bellinger,Fairbourne Fitness,Head of Platform Engineering,https://www.linkedin.com/in/ingrid-bellinger-9678,2022-12-14
·Joaquín Ingleby,Yardley Print,Head of Innovation,https://www.linkedin.com/in/joaquin-ingleby-3087,2016-10-21
Dev Højgaard,Zenner Foods,Chief Data Officer,https://www.linkedin.com/in/dev-hojgaard-4491,2025-07-26
Curtis Jarrold,Ondermark Consulting,Engineering Manager,https://www.linkedin.com/in/curtis-jarrold-1863,2021-09-15
Marcus Oldfield,Corbridge Realty,Chief Digital Officer,https://www.linkedin.com/in/marcus-oldfield-8125,2018-07-28
Bram Vasquez,Corbridge Realty,Head of Developer Productivity,https://www.linkedin.com/in/bram-vasquez-1521,2019-04-23
Matteo Thackeray,Pale Harbour Studio,Head of Innovation,https://www.linkedin.com/in/matteo-thackeray-8809,2016-05-29
Duarte Yarrow,Tannerly Design,Engineering Manager,https://www.linkedin.com/in/duarte-yarrow-2726,2021-05-02
Owen Kirkbride,Yardley Print,Director of IT,https://www.linkedin.com/in/owen-kirkbride-2661,2017-08-07
Dev Petrossian,Whitlock Staffing,Product Director,https://www.linkedin.com/in/dev-petrossian-4759,2025-06-20
Bram Grimsby,Elmsworth Tutors,Principal Architect,https://www.linkedin.com/in/bram-grimsby-5378,2020-10-16
Kian Dobrescu,Xanthe Labs,Head of Developer Productivity,https://www.linkedin.com/in/kian-dobrescu-4115,2018-12-09
Sabine Kettleborough,Vespermill Analytics,Chief Operating Officer,https://www.linkedin.com/in/sabine-kettleborough-6246,2019-12-18
Owen Achterberg,Whitlock Staffing,Head of Platform Engineering,https://www.linkedin.com/in/owen-achterberg-1372,2023-11-14
Saoirse Brenneman,Ambrose Trading,Head of Innovation,https://www.linkedin.com/in/saoirse-brenneman-8392,2024-11-19
Hana Isenberg,Yardley Print,Engineering Manager,https://www.linkedin.com/in/hana-isenberg-3259,2016-07-24
Ravi Jarrold,Ambrose Trading,Engineering Manager,https://www.linkedin.com/in/ravi-jarrold-9675,2023-09-22
Rafael Achterberg,Quintrell Advisory,Director of IT,https://www.linkedin.com/in/rafael-achterberg-3398,2023-07-27
Curtis Cardoso,Zenner Foods,Head of Automation,https://www.linkedin.com/in/curtis-cardoso-7655,2016-09-17
Malik Ashdown,Rooksby Legal,Platform Lead,https://www.linkedin.com/in/malik-ashdown-8519,2018-01-26
Kofi Ibarra,Highmoor Cycles,VP Engineering,https://www.linkedin.com/in/kofi-ibarra-1734,2017-08-08
Idris Ashdown,Highmoor Cycles,Product Director,https://www.linkedin.com/in/idris-ashdown-8281,2020-03-21
Coretta Isenberg,Dunmowe Travel,Platform Lead,https://www.linkedin.com/in/coretta-isenberg-9962,2017-10-08
Owen Kettleborough,Highmoor Cycles,Head of Developer Productivity,https://www.linkedin.com/in/owen-kettleborough-6102,2024-01-14
Fenella Nakashima,Yardley Print,Principal Architect,https://www.linkedin.com/in/fenella-nakashima-5528,2023-12-08
Desmond Fairweather,Ambrose Trading,Chief Data Officer,https://www.linkedin.com/in/desmond-fairweather-2878,2016-03-19
Matteo Grimsby,Underwood & Vale,"Senior Manager, Engineering",,2023-02-10
Marcus Cardoso,Inglenook Bakery,Product Director,https://www.linkedin.com/in/marcus-cardoso-6028,2017-02-10
Tanvi Okonkwo,Underwood & Vale,Engineering Manager,https://www.linkedin.com/in/tanvi-okonkwo-2259,2024-03-30
