name,company,title,profile_url,connected_on
Yusuf Fairweather,Fairbourne Fitness,Director of Software Engineering,https://www.linkedin.com/in/yusuf-fairweather-5797,2018-05-18
Greta Vandermolen,Ambrose Trading,Engineering Manager,https://www.linkedin.com/in/greta-vandermolen-1559,2024-04-08
Gideon Underhill,Bellchamber Media,Chief Data Officer,https://www.linkedin.com/in/gideon-underhill-9832,2023-02-24
Mei Crowther,Yardley Print,Platform Lead,https://www.linkedin.com/in/mei-crowther-7775,2019-11-16
Tomás Merriweather,Corbridge Realty,Engineering Manager,https://www.linkedin.com/in/tomas-merriweather-9243,2024-04-02
Yara Ferreira,Whitlock Staffing,Head of Innovation,https://www.linkedin.com/in/yara-ferreira-7050,2021-03-17
Sabine Dellinger,Vantage Ridge Utilities,Chief Data Officer,https://www.linkedin.com/in/sabine-dellinger-9205,2022-12-23
Tanvi Cardoso,Inglenook Bakery,Head of Platform Engineering,https://www.linkedin.com/in/tanvi-cardoso-2810,2023-05-22
Renata Thackeray,Garrowby Books,Platform Lead,https://www.linkedin.com/in/renata-thackeray-2094,2021-08-22
Kian Marchetti,Rooksby Legal,Product Director,https://www.linkedin.com/in/kian-marchetti-5726,2020-03-22
Rhys Salcedo,Xanthe Labs,Staff Engineer,https://www.linkedin.com/in/rhys-salcedo-7299,2015-11-26
Sunniva Underhill,Whitlock Staffing,Staff Engineer,https://www.linkedin.com/in/sunniva-underhill-6871,2019-03-31
Sunniva Salcedo,Elmsworth Tutors,Product Director,https://www.linkedin.com/in/sunniva-salcedo-7660,2022-04-17
Hana Grimsby,Bellchamber Media,Head of Automation,https://www.linkedin.com/in/hana-grimsby-6991,2023-11-26
Sloane Dellinger,Vespermill Analytics,Director of IT,https://www.linkedin.com/in/sloane-dellinger-9437,2018-02-14
Kian Eastcott,Tannerly Design,Chief Operating Officer,https://www.linkedin.com/in/kian-eastcott-5553,2018-02-16
Matteo Merriweather,Vespermill Analytics,Program Manager,https://www.linkedin.com/in/matteo-merriweather-4890,2022-01-09
Priya Dobrescu,Xanthe Labs,Product Director,https://www.linkedin.com/in/priya-dobrescu-5005,2024-03-09
Owen Ferreira,Yardley Print,Staff Engineer,https://www.linkedin.com/in/owen-ferreira-5640,2023-09-23
Sabine Oyelaran,Vespermill Analytics,Chief Data Officer,https://www.linkedin.com/in/sabine-oyelaran-6262,2022-05-07
Margot Vasquez,Pale Harbour Studio,VP Enterprise Architecture,https://www.linkedin.com/in/margot-vasquez-7132,2018-04-13
Silas Achterberg,Corbridge Realty,Chief Operating Officer,https://www.linkedin.com/in/silas-achterberg-1719,2019-10-02
Tomás Drummond,Tannerly Design,Head of Automation,https://www.linkedin.com/in/tomas-drummond-4145,2016-09-02
Desmond Balogun,Inglenook Bakery,VP Engineering,https://www.linkedin.com/in/desmond-balogun-6282,2016-05-25
Odette Achterberg,Dunmowe Travel,Principal Architect,https://www.linkedin.com/in/odette-achterberg-4632,2019-06-15
Liesel Kettleborough,Ondermark Consulting,Product Director,https://www.linkedin.com/in/liesel-kettleborough-2006,2024-09-16
Dana Jarrold,Whitlock Staffing,Product Director,https://www.linkedin.com/in/dana-jarrold-1446,2020-07-10
Casper Balogun,Quintrell Advisory,Staff Engineer,https://www.linkedin.com/in/casper-balogun-1298,2024-07-24
Sabine Vasquez,Elmsworth Tutors,Program Manager,https://www.linkedin.com/in/sabine-vasquez-5701,2021-03-03
Perrine Egerton,Underwood & Vale,Director of Software Engineering,https://www.linkedin.com/in/perrine-egerton-5808,2022-08-07
Lucia Jarrold,Corbridge Realty,Engineering Manager,https://www.linkedin.com/in/lucia-jarrold-1528,2023-12-01
Elena Petrossian,Inglenook Bakery,Chief Operating Officer,https://www.linkedin.com/in/elena-petrossian-2128,2019-03-18
Coretta Lindqvist,Yardley Print,Staff Engineer,https://www.linkedin.com/in/coretta-lindqvist-1686,2019-10-15
Odette Mkhize,Underwood & Vale,Director of IT,https://www.linkedin.com/in/odette-mkhize-5434,2025-04-20
Solveig Marchetti,Yardley Print,Staff Engineer,https://www.linkedin.com/in/solveig-marchetti-6016,2018-12-17
Camille Achterberg,Whitlock Staffing,Program Manager,https://www.linkedin.com/in/camille-achterberg-4594,2018-10-12
Arjun Vandermolen,Ondermark Consulting,Product Director,https://www.linkedin.com/in/arjun-vandermolen-4492,2018-08-02
Sabine Dobrescu,Quintrell Advisory,Principal Architect,https://www.linkedin.com/in/sabine-dobrescu-7302,2022-04-15
Nadia Kettleborough,Rooksby Legal,Head of Automation,https://www.linkedin.com/in/nadia-kettleborough-6607,2022-03-30
Amara Eastcott,Pale Harbour Studio,Head of Developer Productivity,https://www.linkedin.com/in/amara-eastcott-8012,2021-01-13
Tomás Dobrescu,Strathmore Rail,VP Engineering,https://www.linkedin.com/in/tomas-dobrescu-3794,2018-12-16
Amara Petrossian,Dunmowe Travel,Chief Operating Officer,https://www.linkedin.com/in/amara-petrossian-6365,2021-03-13
Espen Rushworth,Bellchamber Media,Head of Automation,https://www.linkedin.com/in/espen-rushworth-3873,2023-06-03
Callum Bellinger,Pale Harbour Studio,Head of Innovation,https://www.linkedin.com/in/callum-bellinger-1370,2022-07-06
Saoirse Eastcott,Underwood & Vale,Principal Architect,https://www.linkedin.com/in/saoirse-eastcott-3114,2022-07-01
Callum Merriweather,Corbridge Realty,Product Director,https://www.linkedin.com/in/callum-merriweather-8864,2023-01-16
Astrid Salcedo,Apex Logistics Group,VP Data & Analytics,https://www.linkedin.com/in/astrid-salcedo-5602,2023-11-25
Bo Bellinger,Fairbourne Fitness,Platform Lead,https://www.linkedin.com/in/bo-bellinger-6109,2023-09-22
Tomás Oldfield,Elmsworth Tutors,Principal Architect,https://www.linkedin.com/in/tomas-oldfield-9552,2022-05-24
Hana Wolstenholme,Inglenook Bakery,Head of Automation,https://www.linkedin.com/in/hana-wolstenholme-6620,2017-06-07
Tilda Ingleby,Quintrell Advisory,Chief Data Officer,https://www.linkedin.com/in/tilda-ingleby-9769,2023-07-02
Kofi Lomsadze,Rooksby Legal,Platform Lead,https://www.linkedin.com/in/kofi-lomsadze-6064,2017-04-07
Sabine Cardoso,Highmoor Cycles,Director of Software Engineering,https://www.linkedin.com/in/sabine-cardoso-3753,2018-02-26
Marisol Norrington,Bellchamber Media,Principal Architect,https://www.linkedin.com/in/marisol-norrington-9941,2020-01-04
Owen Brenneman,Corbridge Realty,Chief Operating Officer,https://www.linkedin.com/in/owen-brenneman-6037,2020-10-06
Priya Ingleby,Bellchamber Media,Director of Software Engineering,https://www.linkedin.com/in/priya-ingleby-4725,2024-11-03
Margot Ingleby,Dunmowe Travel,Product Director,https://www.linkedin.com/in/margot-ingleby-1254,2024-03-27
Astrid Vasquez,Fairbourne Fitness,Product Director,https://www.linkedin.com/in/astrid-vasquez-7674,2025-01-04
Bram Thackeray,Inglenook Bakery,Product Director,https://www.linkedin.com/in/bram-thackeray-3097,2018-07-11
Mei Cardoso,Inglenook Bakery,Head of Automation,https://www.linkedin.com/in/mei-cardoso-8280,2017-09-07
Bram Rushworth,Fairbourne Fitness,Product Director,https://www.linkedin.com/in/bram-rushworth-2874,2015-11-15
Nadia Achterberg,Ondermark Consulting,Program Manager,https://www.linkedin.com/in/nadia-achterberg-1593,2019-11-10
Hugo Cardoso,Ondermark Consulting,Head of Automation,https://www.linkedin.com/in/hugo-cardoso-5442,2025-02-03
Renata Cardoso,Inglenook Bakery,Product Director,https://www.linkedin.com/in/renata-cardoso-7922,2022-12-27
Astrid Okonkwo,Garrowby Books,Engineering Manager,https://www.linkedin.com/in/astrid-okonkwo-8042,2020-05-22
Imani Petrossian,Ambrose Trading,"Senior Manager, Engineering",https://www.linkedin.com/in/imani-petrossian-1660,2022-02-23
Gideon Bellinger,Garrowby Books,Head of Automation,https://www.linkedin.com/in/gideon-bellinger-8645,2016-02-23
Ingrid Thackeray,Tannerly Design,Chief Operating Officer,https://www.linkedin.com/in/ingrid-thackeray-3280,2019-08-11
Anouk Højgaard,Pale Harbour Studio,Director of Software Engineering,https://www.linkedin.com/in/anouk-hojgaard-4914,2016-11-22
Liesel Eastcott,Vespermill Analytics,Head of Automation,https://www.linkedin.com/in/liesel-eastcott-1528,2018-07-08
Tanvi Kirkbride,Whitlock Staffing,Platform Lead,https://www.linkedin.com/in/tanvi-kirkbride-7166,2024-09-13
Bertrand Brenneman,Ondermark Consulting,VP Data & Analytics,https://www.linkedin.com/in/bertrand-brenneman-4533,2017-11-29
Noor Wolstenholme,Fairbourne Fitness,Principal Architect,https://www.linkedin.com/in/noor-wolstenholme-4592,2016-07-03
Lucia Ashdown,Ondermark Consulting,Platform Lead,https://www.linkedin.com/in/lucia-ashdown-3031,2021-10-05
Odette Ingleby,Fairbourne Fitness,Engineering Manager,https://www.linkedin.com/in/odette-ingleby-2476,2024-05-19
Elena Sandoval,Rooksby Legal,Staff Engineer,https://www.linkedin.com/in/elena-sandoval-7962,2021-05-12
Arjun Egerton,Underwood & Vale,Head of Innovation,https://www.linkedin.com/in/arjun-egerton-6215,2021-05-25
·Joaquín Grimsby,Ambrose Trading,"Senior Manager, Engineering",https://www.linkedin.com/in/joaquin-grimsby-6284,2023-08-09
Elena Okonkwo,Vespermill Analytics,"Senior Manager, Engineering",https://www.linkedin.com/in/elena-okonkwo-1261,2022-12-16
Imani Kettleborough,Zenner Foods,Head of Platform Engineering,https://www.linkedin.com/in/imani-kettleborough-3220,2017-11-21
Ravi Ashdown,Rooksby Legal,Platform Lead,https://www.linkedin.com/in/ravi-ashdown-6137,2015-11-15
Matteo Salcedo,Corbridge Realty,Head of Automation,https://www.linkedin.com/in/matteo-salcedo-6622,2023-03-04
Malik Underhill,Quintrell Advisory,Chief Technology Officer,https://www.linkedin.com/in/malik-underhill-9064,2023-02-23
Idris Ibarra,Zenner Foods,Principal Architect,https://www.linkedin.com/in/idris-ibarra-6178,2017-08-28
Ingrid Okonkwo,Zenner Foods,Engineering Manager,https://www.linkedin.com/in/ingrid-okonkwo-3610,2018-07-26
Astrid Eastcott,Ondermark Consulting,Program Manager,https://www.linkedin.com/in/astrid-eastcott-3955,2020-02-26
Amara Prendergast,Underwood & Vale,"Senior Manager, Engineering",https://www.linkedin.com/in/amara-prendergast-6496,2016-12-22
Ansel Fontaine,Whitlock Staffing,Head of Automation,https://www.linkedin.com/in/ansel-fontaine-9492,2022-01-19
Sloane Zubkov,Corbridge Realty,"Senior Manager, Engineering",https://www.linkedin.com/in/sloane-zubkov-9589,2019-02-01
Fenella Hartigan,Vespermill Analytics,Staff Engineer,https://www.linkedin.com/in/fenella-hartigan-9900,2022-10-09
