name,company,title,profile_url,connected_on
Malik Salcedo-Mkhize,Dunmowe Travel,"Senior Manager, Engineering",https://www.linkedin.com/in/malik-salcedo-mkhize-1776,2015-12-20
Kwame Dellinger,Elmsworth Tutors,Director of Software Engineering,https://www.linkedin.com/in/kwame-dellinger-5680,2015-10-08
Renata Nakashima,Garrowby Books,Engineering Manager,https://www.linkedin.com/in/renata-nakashima-7628,2021-05-23
Duarte Balogun-Isenberg,Ondermark Consulting,Director of IT,https://www.linkedin.com/in/duarte-balogun-isenberg-1276,2024-03-05
Duarte Wolstenholme,Underwood & Vale,Director of IT,,2021-07-19
Imani Isenberg,Tannerly Design,Program Manager,https://www.linkedin.com/in/imani-isenberg-2685,2017-03-01
Lucia Lindqvist,Zenner Foods,Director of IT,https://www.linkedin.com/in/lucia-lindqvist-4577,2024-10-28
Xiomara Egerton,Elmsworth Tutors,Head of Automation,https://www.linkedin.com/in/xiomara-egerton-6766,2020-11-10
Desmond Lindqvist,Rooksby Legal,SVP Digital,https://www.linkedin.com/in/desmond-lindqvist-1117,2025-05-03
Liesel Marchetti,Quintrell Advisory,Product Director,https://www.linkedin.com/in/liesel-marchetti-9022,2023-08-04
Malik Wolstenholme,Inglenook Bakery,SVP Digital,https://www.linkedin.com/in/malik-wolstenholme-7531,2016-07-12
Hana Egerton,Rooksby Legal,Chief Digital Officer,https://www.linkedin.com/in/hana-egerton-3909,2024-03-05
Marcus Kettleborough,Zenner Foods,Principal Architect,https://www.linkedin.com/in/marcus-kettleborough-2445,2021-03-10
Perrine Yarrow,Ondermark Consulting,Product Director,https://www.linkedin.com/in/perrine-yarrow-8420,2016-01-20
Greta Dellinger,Rooksby Legal,Chief Data Officer,https://www.linkedin.com/in/greta-dellinger-8956,2021-11-09
Bram Vandermolen-Højgaard,Vespermill Analytics,Director of IT,,2018-05-25
Mei Fairweather-Yarrow,Fairbourne Fitness,Head of Automation,https://www.linkedin.com/in/mei-fairweather-yarrow-1072,2025-07-13
Tilda Isenberg,Yardley Print,Head of Developer Productivity,https://www.linkedin.com/in/tilda-isenberg-6234,2025-03-17
Espen Ferreira,Whitlock Staffing,Platform Lead,https://www.linkedin.com/in/espen-ferreira-1393,2018-11-23
Sloane Cathcart-Balogun,Dunmowe Travel,Platform Lead,https://www.linkedin.com/in/sloane-cathcart-balogun-7098,2024-07-07
Bo Glückstein,Dunmowe Travel,Head of Automation,https://www.linkedin.com/in/bo-gluckstein-4311,2021-12-13
