name,company,title,profile_url,connected_on
Leandro Thackeray-Vandermolen,Dunmowe Travel,Product Director,https://www.linkedin.com/in/leandro-thackeray-vandermolen-6252,2016-02-14
Xiomara Drummond-Wolstenholme,Highmoor Cycles,Principal Architect,https://www.linkedin.com/in/xiomara-drummond-wolstenholme-8822,2024-08-28
Rafael Lindqvist-Højgaard,Fairbourne Fitness,Director of Software Engineering,https://www.linkedin.com/in/rafael-lindqvist-hojgaard-9907,2022-10-05
Astrid Marchetti-Petrossian,Ambrose Trading,Staff Engineer,https://www.linkedin.com/in/astrid-marchetti-petrossian-2563,2024-09-02
Zaid Wolstenholme-Lomsadze,Elmsworth Tutors,Chief Digital Officer,https://www.linkedin.com/in/zaid-wolstenholme-lomsadze-3873,2025-01-07
Greta Mkhize-Isenberg,Underwood & Vale,Staff Engineer,https://www.linkedin.com/in/greta-mkhize-isenberg-9430,2022-01-27
Idris Salcedo-Dellinger,Underwood & Vale,Chief Operating Officer,https://www.linkedin.com/in/idris-salcedo-dellinger-8414,2022-12-27
Kofi Achterberg-Merriweather,Pale Harbour Studio,VP Enterprise Architecture,https://www.linkedin.com/in/kofi-achterberg-merriweather-5338,2016-06-10
Niall Drummond-Rushworth,Garrowby Books,Head of Innovation,https://www.linkedin.com/in/niall-drummond-rushworth-3705,2015-10-04
Renata Ibarra-Okonkwo,Xanthe Labs,Principal Architect,https://www.linkedin.com/in/renata-ibarra-okonkwo-9757,2020-08-29
Malik Højgaard-Yarrow,Tannerly Design,Chief Information Officer,https://www.linkedin.com/in/malik-hojgaard-yarrow-5085,2018-04-24
Nadia Vasquez-Cardoso,Ondermark Consulting,VP Enterprise Architecture,https://www.linkedin.com/in/nadia-vasquez-cardoso-4310,2016-01-20
Ilse Lindqvist-Bellinger,Corbridge Realty,Director of IT,https://www.linkedin.com/in/ilse-lindqvist-bellinger-9141,2016-03-19
Coretta Vasquez-Norrington,Inglenook Bakery,Head of Innovation,https://www.linkedin.com/in/coretta-vasquez-norrington-4367,2021-12-25
Freya Halloran-Wexford,Yardley Print,Director of Software Engineering,https://www.linkedin.com/in/freya-halloran-wexford-6397,2023-09-27
Tomás Ingleby-Egerton,Garrowby Books,VP Engineering,https://www.linkedin.com/in/tomas-ingleby-egerton-3108,2020-02-24
Malik Merriweather-Norrington,Fairbourne Fitness,Engineering Manager,https://www.linkedin.com/in/malik-merriweather-norrington-3219,2016-05-20
Dana Vandermolen-Kettleborough,Highmoor Cycles,Product Director,https://www.linkedin.com/in/dana-vandermolen-kettleborough-8164,2017-02-02
Wren Salcedo-Wolstenholme,Fairbourne Fitness,Program Manager,https://www.linkedin.com/in/wren-salcedo-wolstenholme-9951,2018-01-30
Xiomara Ferreira-Vandermolen,Fairbourne Fitness,Director of Software Engineering,https://www.linkedin.com/in/xiomara-ferreira-vandermolen-3010,2020-10-09
Rosalind Havercamp-Egerton,Ambrose Trading,"Senior Manager, Engineering",https://www.linkedin.com/in/rosalind-havercamp-egerton-6659,2019-04-02
Devin Oyelaran-Marchetti,Dunmowe Travel,Staff Engineer,https://www.linkedin.com/in/devin-oyelaran-marchetti-5007,2019-09-01
Casper Bellinger-Grimsby,Quintrell Advisory,Principal Architect,https://www.linkedin.com/in/casper-bellinger-grimsby-6748,2020-11-03
Xiomara Vandermolen-Yarrow,Quintrell Advisory,"Senior Manager, Engineering",https://www.linkedin.com/in/xiomara-vandermolen-yarrow-4205,2017-07-20
Coretta Kettleborough-Falkenrath,Garrowby Books,Director of Software Engineering,https://www.linkedin.com/in/coretta-kettleborough-falkenrath-5191,2022-12-16
Odette Crowther-Petrossian,Tannerly Design,Staff Engineer,https://www.linkedin.com/in/odette-crowther-petrossian-9886,2022-05-08
Gideon Jarrold-Marchetti,Zenner Foods,Director of Software Engineering,https://www.linkedin.com/in/gideon-jarrold-marchetti-3841,2022-03-02
Hugo Ferreira-Egerton,Elmsworth Tutors,Principal Architect,https://www.linkedin.com/in/hugo-ferreira-egerton-8988,2024-04-07
Desmond Ingleby-Zubkov,Inglenook Bakery,"Senior Manager, Engineering",,2016-08-17
Otto Falkenrath-Fairweather,Yardley Print,"Senior Manager, Engineering",https://www.linkedin.com/in/otto-falkenrath-fairweather-7472,2018-12-28
Tomás Quillane-Egerton,Ondermark Consulting,Head of Innovation,https://www.linkedin.com/in/tomas-quillane-egerton-3347,2025-03-04
Liesel Norrington-Ingleby,Underwood & Vale,Principal Architect,https://www.linkedin.com/in/liesel-norrington-ingleby-3096,2020-03-11
