name,company,title,profile_url,connected_on
Kofi Quillane-Eastcott,Quintrell Advisory,Product Director,,2019-10-14
Sunniva Ashdown-Sandoval,Corbridge Realty,Head of Innovation,https://www.linkedin.com/in/sunniva-ashdown-sandoval-1888,2020-09-15
Matteo Marchetti-Merriweather,Inglenook Bakery,Engineering Manager,https://www.linkedin.com/in/matteo-marchetti-merriweather-7915,2019-01-01
Sloane Drummond-Dellinger,Inglenook Bakery,Director of IT,https://www.linkedin.com/in/sloane-drummond-dellinger-4096,2020-09-23
Sloane Kettleborough-Okonkwo,Highmoor Cycles,Platform Lead,https://www.linkedin.com/in/sloane-kettleborough-okonkwo-3265,2021-08-05
Nadia Ferreira-Ashdown,Ondermark Consulting,Head of Platform Engineering,https://www.linkedin.com/in/nadia-ferreira-ashdown-3280,2018-07-22
Devin Brenneman-Oldfield,Corbridge Realty,Platform Lead,https://www.linkedin.com/in/devin-brenneman-oldfield-4888,2020-10-16
Yusuf Zettergren-Lindqvist,Bellchamber Media,Director of IT,https://www.linkedin.com/in/yusuf-zettergren-lindqvist-2165,2023-07-17
Coretta Drummond-Vandermolen,Tannerly Design,Product Director,https://www.linkedin.com/in/coretta-drummond-vandermolen-2355,2024-10-21
Solveig Petrossian-Cathcart,Inglenook Bakery,VP Enterprise Architecture,https://www.linkedin.com/in/solveig-petrossian-cathcart-7827,2022-04-08
Leandro Nakashima-Norrington,Tannerly Design,Product Director,https://www.linkedin.com/in/leandro-nakashima-norrington-2207,2020-11-22
Dev Isenberg-Crowther,Zenner Foods,Chief Operating Officer,https://www.linkedin.com/in/dev-isenberg-crowther-5738,2022-01-03
Espen Kettleborough-Rushworth,Whitlock Staffing,Engineering Manager,https://www.linkedin.com/in/espen-kettleborough-rushworth-6878,2023-07-16
Leandro Salcedo-Kirkbride,Fairbourne Fitness,SVP Digital,https://www.linkedin.com/in/leandro-salcedo-kirkbride-5047,2018-10-02
Niall Zubkov-Quillane,Yardley Print,Product Director,https://www.linkedin.com/in/niall-zubkov-quillane-4129,2018-10-06
Priya Underhill-Halloran,Tannerly Design,Staff Engineer,https://www.linkedin.com/in/priya-underhill-halloran-2462,2017-09-17
Xiomara Lindqvist-Halloran,Zenner Foods,Staff Engineer,https://www.linkedin.com/in/xiomara-lindqvist-halloran-2745,2025-06-08
Bo Isenberg-Egerton,Rooksby Legal,Chief Technology Officer,https://www.linkedin.com/in/bo-isenberg-egerton-8355,2024-09-21
Coretta Ferreira-Prendergast,Elmsworth Tutors,Platform Lead,https://www.linkedin.com/in/coretta-ferreira-prendergast-1521,2023-01-20
Emeka Petrossian-Vasquez,Inglenook Bakery,Director of IT,https://www.linkedin.com/in/emeka-petrossian-vasquez-1242,2022-10-28
Kwame Salcedo-Eastcott,Tannerly Design,Program Manager,https://www.linkedin.com/in/kwame-salcedo-eastcott-2355,2023-02-05
Greta Kirkbride-Fontaine,Vespermill Analytics,Program Manager,https://www.linkedin.com/in/greta-kirkbride-fontaine-5895,2024-10-14
Ansel Sandoval-Brenneman,Garrowby Books,Director of IT,https://www.linkedin.com/in/ansel-sandoval-brenneman-1057,2020-08-02
Ilse Lindqvist-Havercamp,Vespermill Analytics,Head of Platform Engineering,https://www.linkedin.com/in/ilse-lindqvist-havercamp-7186,2019-09-06
Emeka Lomsadze-Thackeray,Whitlock Staffing,Chief Digital Officer,https://www.linkedin.com/in/emeka-lomsadze-thackeray-8409,2018-08-15
Anouk Kirkbride,Nortonbury Logistics,Head of Developer Productivity,https://www.linkedin.com/in/anouk-kirkbride-4767,2026-09-17
Bertrand Merriweather-Rushworth,Dunmowe Travel,Head of Automation,https://www.linkedin.com/in/bertrand-merriweather-rushworth-9526,2023-07-03
Kian Quillane-Petrossian,Yardley Print,Platform Lead,https://www.linkedin.com/in/kian-quillane-petrossian-2244,2016-10-26
Ilse Vasquez-Wolstenholme,Quintrell Advisory,"Senior Manager, Engineering",https://www.linkedin.com/in/ilse-vasquez-wolstenholme-7084,2019-09-22
Kofi Kirkbride-Okonkwo,Yardley Print,"Senior Manager, Engineering",,2016-12-05
Astrid Mkhize-Halloran,Whitlock Staffing,Product Director,https://www.linkedin.com/in/astrid-mkhize-halloran-2655,2020-06-26
Dev Jarrold-Hartigan,Pale Harbour Studio,Platform Lead,https://www.linkedin.com/in/dev-jarrold-hartigan-9685,2021-08-06
Dev Prendergast-Zubkov,Fairbourne Fitness,Program Manager,https://www.linkedin.com/in/dev-prendergast-zubkov-7194,2021-01-08
Hana Zettergren-Dellinger,Tannerly Design,Head of Developer Productivity,https://www.linkedin.com/in/hana-zettergren-dellinger-5923,2025-07-01
Tilda Jarrold-Isenberg,Pale Harbour Studio,Product Director,https://www.linkedin.com/in/tilda-jarrold-isenberg-8032,2022-11-12
Hugo Dobrescu-Rushworth,Pale Harbour Studio,Engineering Manager,https://www.linkedin.com/in/hugo-dobrescu-rushworth-5409,2019-09-19
Tomás Isenberg-Zubkov,Dunmowe Travel,Head of Automation,https://www.linkedin.com/in/tomas-isenberg-zubkov-7977,2019-11-21
·Joaquín Hartigan-Dellinger,Dunmowe Travel,"Senior Manager, Engineering",https://www.linkedin.com/in/joaquin-hartigan-dellinger-6848,2019-02-18
Odette Ashdown-Rushworth,Garrowby Books,Head of Automation,https://www.linkedin.com/in/odette-ashdown-rushworth-3540,2025-01-21
Rosalind Merriweather-Drummond,Pale Harbour Studio,Program Manager,https://www.linkedin.com/in/rosalind-merriweather-drummond-7829,2016-04-06
Arjun Quillane-Wexford,Corbridge Realty,Head of Automation,https://www.linkedin.com/in/arjun-quillane-wexford-6401,2017-04-01
Leandro Ashdown-Crowther,Ambrose Trading,Staff Engineer,https://www.linkedin.com/in/leandro-ashdown-crowther-2901,2023-10-28
Solveig Wexford-Lindqvist,Whitlock Staffing,Head of Automation,https://www.linkedin.com/in/solveig-wexford-lindqvist-2170,2022-09-21
Zaid Achterberg-Ashdown,Yardley Print,Product Director,https://www.linkedin.com/in/zaid-achterberg-ashdown-9781,2022-08-22
Amara Yarrow-Grimsby,Bellchamber Media,Chief Data Officer,https://www.linkedin.com/in/amara-yarrow-grimsby-8531,2021-06-27
Wren Salcedo-Prendergast,Vespermill Analytics,Chief Data Officer,https://www.linkedin.com/in/wren-salcedo-prendergast-8587,2023-05-16
Perrine Vasquez-Glückstein,Tannerly Design,VP Data & Analytics,https://www.linkedin.com/in/perrine-vasquez-gluckstein-5594,2025-06-19
Teodor Quillane-Achterberg,Ondermark Consulting,Engineering Manager,https://www.linkedin.com/in/teodor-quillane-achterberg-6002,2021-03-05
Niall Thackeray-Oldfield,Underwood & Vale,Staff Engineer,https://www.linkedin.com/in/niall-thackeray-oldfield-1043,2019-06-12
Bertrand Jarrold-Grimsby,Underwood & Vale,Head of Automation,,2016-01-25
Camille Ferreira-Grimsby,Zenner Foods,Principal Architect,https://www.linkedin.com/in/camille-ferreira-grimsby-9319,2018-11-16
