request_id,connector_asked,asked_date,responded,response_date,intro_sent,intro_date,meeting_booked,opportunity_created,opportunity_value_usd
R1003,Dana Whitfield,2026-03-06,Y,2026-03-08,Y,2026-03-18,N,N,
R1008,Owen Trask,2026-01-07,N,,N,,N,N,
R1012,Elena Duvall,2026-03-31,N,,N,,N,N,
R1015,Owen Trask,2026-06-26,N,,N,,N,N,
R1020,Tomás Beckett,2025-11-05,Y,2025-11-06,Y,2025-11-15,N,N,
R1022,Elena Duvall,2026-06-16,Y,2026-06-18,Y,2026-06-20,N,N,
R1025,Elena Duvall,2026-02-28,Y,2026-03-07,N,,N,N,
R1026,Owen Trask,2025-12-15,Y,2025-12-18,N,,N,N,
R1029,Elena Duvall,2026-07-18,N,,N,,N,N,
R1031,Priya Raghunathan,2025-11-30,N,,N,,N,N,
R1032,Priya Raghunathan,2025-09-17,Y,2025-09-27,Y,2025-09-30,N,N,
R1033,Tomás Beckett,2026-06-07,Y,2026-06-11,N,,N,N,
R1038,Elena Duvall,2026-05-22,Y,2026-06-02,Y,2026-06-10,Y,N,
R1042,Elena Duvall,2026-06-05,Y,2026-06-15,Y,2026-06-17,Y,N,
R1044,Priya Raghunathan,2026-05-07,Y,2026-05-13,Y,2026-05-23,N,N,
R1045,Marcus Aldridge,2025-09-08,Y,2025-09-13,Y,2025-09-27,N,N,
R1046,Priya Raghunathan,2026-06-09,Y,2026-06-18,N,,N,N,
R1051,Tomás Beckett,2026-04-19,N,,N,,N,N,
R1052,Tomás Beckett,2025-08-20,N,,N,,N,N,
R1053,Marcus Aldridge,2026-06-22,N,,N,,N,N,
R1057,Tomás Beckett,2026-06-21,Y,2026-07-03,N,,N,N,
R1058,Priya Raghunathan,2026-01-02,N,,N,,N,N,
R1060,Elena Duvall,2025-08-19,N,,N,,N,N,
R1066,Yusuf Petrossian,2026-07-01,Y,2026-07-06,N,,N,N,
R1068,Priya Raghunathan,2026-02-15,N,,N,,N,N,
R1069,Marcus Aldridge,2025-11-01,N,,N,,N,N,
R1072,Tomás Beckett,2025-11-03,N,,N,,N,N,
R1076,Tomás Beckett,2026-01-27,Y,2026-01-29,Y,2026-02-07,N,N,
R1077,Marcus Aldridge,2026-03-04,N,,N,,N,N,
R1078,Tomás Beckett,2025-11-16,Y,2025-11-18,Y,2025-11-26,Y,N,
R1082,Priya Raghunathan,2025-08-05,Y,2025-08-17,N,,N,N,
R1085,Tomás Beckett,2026-04-30,N,,N,,N,N,
R1086,Priya Raghunathan,2026-02-20,N,,N,,N,N,
R1090,Tomás Beckett,2025-12-20,N,,N,,N,N,
R1091,Elena Duvall,2026-04-17,Y,2026-04-24,Y,2026-05-02,N,N,
R1093,Marcus Aldridge,2025-12-16,N,,N,,N,N,
R1094,Marcus Aldridge,2026-06-23,N,,N,,N,N,
R1095,Marcus Aldridge,2025-12-30,N,,N,,N,N,
R1098,Tomás Beckett,2026-03-26,Y,2026-03-28,N,,N,N,
R1101,Priya Raghunathan,2026-05-11,Y,2026-05-21,Y,2026-05-30,Y,N,
R1102,Marcus Aldridge,2025-10-31,Y,2025-11-01,N,,N,N,
R1104,Tomás Beckett,2025-12-22,Y,2025-12-28,N,,N,N,
R1107,Elena Duvall,2025-11-09,Y,2025-11-14,N,,N,N,
R1108,Hana Nakashima,2025-10-11,Y,2025-10-23,N,,N,N,
R1110,Marcus Aldridge,2026-07-16,Y,2026-07-22,N,,N,N,
R1113,Dana Whitfield,2026-02-03,Y,2026-02-04,N,,N,N,
R1114,Marcus Aldridge,2026-02-19,Y,2026-02-24,N,,N,N,
R1118,Tomás Beckett,2025-09-16,Y,2025-09-17,N,,N,N,
R1120,Priya Raghunathan,2025-10-30,N,,N,,N,N,
R1121,Marcus Aldridge,2025-09-17,Y,2025-09-23,Y,2025-09-26,N,N,
R1122,Curtis Hartigan,2026-07-25,Y,2026-08-05,Y,2026-08-10,Y,N,
R1123,Elena Duvall,2026-04-22,Y,2026-04-28,Y,2026-04-29,N,N,
R1124,Priya Raghunathan,2025-11-13,N,,N,,N,N,
R1129,Marcus Aldridge,2026-05-07,Y,2026-05-17,Y,2026-05-19,Y,Y,1200000
R1130,Tomás Beckett,2026-02-10,Y,2026-02-19,N,,N,N,
R1131,Elena Duvall,2026-06-25,N,,N,,N,N,
R1135,Priya Raghunathan,2025-12-13,Y,2025-12-16,N,,N,N,
R1137,Tomás Beckett,2025-09-16,N,,N,,N,N,
R1140,Tomás Beckett,2025-09-18,Y,2025-09-27,Y,2025-10-08,N,N,
R1141,Priya Raghunathan,2025-11-25,Y,2025-11-28,Y,2025-12-06,N,N,
R1147,Dana Whitfield,2026-02-16,N,,N,,N,N,
R1149,Priya Raghunathan,2026-05-05,Y,2026-05-15,Y,2026-05-23,Y,Y,80000
R1150,Tomás Beckett,2026-03-09,Y,2026-03-11,Y,2026-03-16,Y,Y,750000
R1154,Marcus Aldridge,2026-03-05,Y,2026-03-06,Y,2026-03-11,N,N,
R1155,Elena Duvall,2026-07-01,N,,N,,N,N,
R1156,Priya Raghunathan,2025-10-01,Y,2025-10-09,Y,2025-10-18,N,N,
R1157,Tomás Beckett,2026-05-01,Y,2026-05-09,N,,N,N,
R1160,Priya Raghunathan,2026-05-26,Y,2026-06-06,Y,2026-06-14,N,N,
R1162,Marcus Aldridge,2026-06-04,N,,N,,N,N,
R1163,Elena Duvall,2026-03-27,Y,2026-04-01,Y,2026-04-02,Y,Y,400000
R1166,Elena Duvall,2025-11-13,Y,2025-11-21,N,,N,N,
R1167,Priya Raghunathan,2026-01-17,Y,2026-01-21,Y,2026-01-31,Y,N,
R1168,Priya Raghunathan,2026-07-23,Y,2026-07-24,Y,2026-08-04,Y,Y,750000
R1169,Bertrand Vandermolen,2026-07-12,N,,N,,N,N,
R1171,Dana Whitfield,2026-01-15,Y,2026-01-27,Y,2026-02-04,N,N,
R1172,Priya Raghunathan,2025-10-21,N,,N,,N,N,
R1176,Imani Mkhize,2026-04-03,Y,2026-04-14,Y,2026-04-19,Y,Y,400000
R1185,Priya Raghunathan,2026-02-08,Y,2026-02-14,Y,2026-02-22,N,N,
R1186,Marcus Aldridge,2025-12-28,Y,2026-01-02,Y,2026-01-05,N,N,
R1187,Priya Raghunathan,2025-11-01,Y,2025-11-03,N,,N,N,
R1190,Elena Duvall,2026-07-05,Y,2026-07-06,N,,N,N,
R1192,Tomás Beckett,2025-08-23,Y,2025-08-26,Y,2025-08-31,Y,Y,2000000
R1196,Tomás Beckett,2026-02-07,Y,2026-02-08,Y,2026-02-20,Y,N,
R1197,Elena Duvall,2025-08-14,Y,2025-08-24,N,,N,N,
R1199,Elena Duvall,2025-12-09,N,,N,,N,N,
